핸들,댓글 내용
@hh_777,"저는 선크림만 쓰면 오돌토돌하게 트러블 올라와서 꼭 필수로 발라야하는건 머리로 알고있는데 트러블때문에 손이 안가더라구요
 그리고 메이크업전에 바르면 화장도 유분이 넘쳐서 지속력도 짧아지고 지저분해보이게 끼인다고 해야하나..아무튼 그냥 선크림은 바르기어렵다고만 생각했는데...
심톨님이 제가 선크림 바르기 싫은 이유들을 고민해결해주는 제품을 만드셨네오!!
 심지어 성분까지 좋으니 바를수록 피부는 좋아지는데 자외선은 막아주니 이건 꼭 365일 발라야되는 제품이구나 싶네요 ㅎㅎㅎ
피부에 진심인 분이 개발했으니 믿음이 안갈래야안갈수없는걸요🫶
 이벤트 해주셔서 저도 꼭 체험 해보고싶어요!! 평생 함께할 선세럼 만나보고싶어요"
@user-ft5ls1xq4i,언니가 만든거 당연히 좋을테니까 먼저 구매하고 영상 보는중입니다!!! 기대돼요
@Kkkkk066,"안티에이징의 시작은 선크림
심톨님과 함께하는 선세럼
성분부터 기능, 흡수력까지! 심톨님과 함께했니에 나올 수 있는 완벽한 제품
 완전 두근두근 기대즁"
@HJ-ow1kg,"우와아앙 선세럼이라뇨
 제형이 넘 독보적입니다!! 완전 진정세럼인데 자외선 차단이 저리도 잘 된다니 혁명템 인정입니다아"
@eunjo-td2jx,미쳤어요. 안그래도 선케어 제품 찾고있었는데 운명의 데스티니처럼 올라온지 5시간 된 이 영상을 마주하게 되다니요. 매번 선크림은 무겁고 답답해서 덧바르기 힘든게 고민이었어요. 아무리 촉촉하다는 제품 써봐도 답답한게 더 크고 기름지고... 더 편하게 쓸 수 있는 제품 없나 싶었는데 선세럼을 개발해주시다니..!! 당장 구매하고 부모님도 나눠드려야겠어요!! 구독하고 댓글 안 달수가 없네요 증말🫶 다른 제품들도 많이 개발해주세요 심톨님!! 쵝오...
@hanui3i,선세럼이라니..안그래도 여름에 가볍게 바를 수 있는 선크림 찾고 있었는데 기대되여 !! 꼭 써볼게여 ㅎㅎ
@userqwer1205,선세럼은 처음 들어봐서 넘 신기하고 궁금해요 !!! 밀리지도 않고 촉촉할거 생각하니 바로 구입해야겠어용 !!
@user-cr2zn7fd6l,투명선크림이라니!!! 정말 신박하고 궁금한 제품이네용 넘 기대되어용~!!!
@gibunjazz,"우와아아아 인스타에서 보고 넘어왔어요!! 우선 구매부터 누르고 보는 영상 
️
️🫶
 믿고 보는 언뉘.."
@user-li6cj4bu1d,"괜히 더 순할 것 같은 느낌...
️
믿어 써볼게요! 우선 주문 완."
@jeongbeenheo9435,썬세럼이라니 처음 들어봐서 너무 기대돼요!!
@Hione011,"필수 기초템! 선크림! 그런데 답답해서 못 쓰는 사람 저요 저요
선크림만 쓰면 답답하고 피부에 트러블 나고 눈 시리고 백탁현상까지! 불편한 점이 너무 많아서 선크림보다 SPF효과가 있는 화징품만 사용했는데, 심톨님이 만든 선세럼이라니
성분부터 발림성, 효과까지 다~ 보여주시니 이건 믿고 살 수 밖에 없죠
안티에이징의 시작은 선세럼
이번달 텅장으로 가보자고"
@hhh_llp,"선세럼이라니., 심톨님 천재인가요 ㅠㅠㅠㅠㅠ 저도 수부지인데 물광 피부 제발 되고시ㅍ어요.. 심톨님만 믿고 사봅니다!!!!!! "
@user-bx3pt5so4b,우와 너무 심쿵! 선세럼이라니~ 민트색 너무 예뻐요 
@user-yf6jd2hf7g,힘들때는 쉬어가면서 솔직하고 재미있는영상들 계속 만들어줘요 언닝🩷
@Kuku056,"역시 믿고 보는 심톨님
피부에 바르는 제품인만큼 얼마나 꼼꼼하게 확인하고 성분도 좋은 제품만 찾아서 만들었을지, 얼마나 노력했을지 상상이 되어서 심쿵이는 감동
이러니 우리 언니를 안좋아할 수 있냐구여
 사랑해여
️"
@user-ge5db5nc2z,"헐~ 언니 특급 홈케어 보면서 많이 참고되었고, 피부도 좋아졌는데 어떻게 선크림 답답해 하시는걸 알고 선 세럼을 들고오셨어요!
지금 여름이고 마침 선크림이 다 떨어졌길램 뭐사지? 하다가 심톨픽! 선세럼 나와서 너무 기쁘네요
델피어 센세럼 런칭 너무 축하드리고 항상 좋은 영상 올려주셔서 감사합니다~"
@Kimchoco9392,"와아... 여름이 다가오고 있는데 선세럼 미쳣어요,, 왜 이런제품이 이제야 나왔는지ㅠㅠㅠ 심톨님 덕분에 좋은 제품 알게되어 넘넘 감사해요!!! 그냥 영상만 봐도 피부 챡붙일거같아요,,🩵🩵 넘 기대되네여 ㅎㅎ!!!"
@yeongaechoi_00,선크림 잘 맞는게 없어서 올 여름 어떻게 보내나 걱정했는데 역시 언니 믿고 구매해요!!!이벤트 꼭 당첨 됐으면 좋겠네용
@jieun_prkkk,와..!! 드디어 출시가 됐네요 ㅠㅠ 바로 달려갑니당...!!
@Liz-bo4if,"선세럼 제형이 요즘 많이 나오는데 톤업타입을 쓰고 있는데 수분세럼 같은 제형의 투명 선크림이라니 그것도 너무 좋을거 같아요 쿨링감과 진정효과도 있는것도 너무 좋고 메이컵과 궁합도 좋다니 기대됩니다. 
그런데 클렌징은 어떤가요? 이지워시 타입이라 폼클렌징만으로 세안이 되는지 이중 세안을 해야하는지 궁금해요."
@ssong6739,선세럼 처음들어보는데 궁금하기도하고 세럼이니까 여름에 가볍게 바를수있을거같아서 구매갑니다요!!!
@ainyou6643,"언니는 해낼줄 알았어요
 역시 멋진 언니 내 롤모델 ㅠㅠㅠㅠ 영상 보는데 언니의 진지함에 진정성이 가득느껴져서 울컥했다고요 바로 구매 진행시킬게요 아묻따니까"
@dallang_log,선세럼은 처음인데 너무 신기하고 궁금하네요!!!바로 지르러갑니다!!!!!!심톨님 개발이라면 아묻따 바로 주문하는거됴!!!우리 심톨님 넘넘 축하드려요
@user-rx7no9ry5p,저는 심톨님 소개해주시는거는 다 항상 좋을것같고 사고싶어요 ㅠ 이번 선세럼도 기대되고 꼭 써보고 싶은데 가격때문에 망설여지네요 고민중이에요 ㅠㅜ이벤트라도 참여합니다!
@sujin_peach,"계속 기다리구 있엇는데 드디어!!!! 너무 기대대용~
엉니가 그동안 추천해주셨던거 사용하고 너무너무 좋았눈데 직접 만드신거라니이이잉~ 어여와서 써보고 싶어용"
@gusdn76540,"클렌징은 쉬울까요? 클렌징폼으로 세수하면 바로 지워지는 제품이면 좋겠습니다! 그렇다면, 바로 구매 합니다!!!"
@sungyoonmoon9394,"선새럼 런칭 축하해요!! 
이제까지 항상 기초만 겨우 바르고 출근하는데다 선크림은 뭘 발라도 눈 시리고 기름지고 답답해서 평생 거의 안 발랐는데ㅜㅜ 이번건 투명하니 파우치에도 책상에도 화장대에도 두고 신나게 발라보려고요! 이번기회에 선크림 바르는 습관 생겼으면 좋겠어요ㅎㅎ"
@HJ-qx3jj,"와아아앙 선크림 만드신 거 축하드려요
 오잉 선세럼인데 캡슐이 들어있는 게 너무 신기해요🫢 색이 초록색인 것도 신기하네요
 안그래도 지성이라 유기자차 바르면 번들거리고 무기자차 바르면 퍼석하고 그 땡기는 느낌 드는게 요건 뭔가 발림감이 키위주스 너낌? 스무스 하네용??ㅎㅎ"
@user-el5ho2rd3v,자외선 차단 중요한데 텁텁하고 답답한 선크림 계속 발라야하나... 했는데 제형이 정말 신기하네요! 심톨언니가 만든 선세럼 꼭 써보고싶어요!
@kingcherry12347,너무오래전부터 잘보고있었는데 선세럼이라니!!! 너무 기대돼서 바로 구매했어요 ㅎㅎ 촉척한 화장 베이스로 좋을것같아서 기대돼요 늘잘보고있어요 좋은정보공유랑 마켓 항상 감사합니다 ㅎㅎ
@ppuqqumom,"진짜 빨리 써보고 싶어용 최고
썬세럼이라닝"
@user-vg2zq9so5g,"헉드디어ㅠㅠㅠㅠㅠㅠㅠㅠㅠ좋은게… 썬크림 너뮤 유목민이여서 이래저래 하고 피부에 진심이라 노력해서 관리하는데 또 피붗뒤집더지거,, 매우 스트레스 여서 포기허고 지냈는데 이런 혁명의 선크림이,, ㅠㅠㅠ 촉촉 선크림도 쟁이면서 유목민 하고있었는데 저희집사람듷,, 유목민 멈추고싶어요~~ 기대,,  ㅎㅎ,,"
@user-cy7zp8cp7f,"선크림 유목민인데 기대해요~~!!!
믿고 써볼게용!!🫶"
@ddin-8654,"이게 진짜 찾던 선크림이에여
내 마음속에 들어갔다 오신줄..
일단 4개 구매부터 하고 다시 정독할께요
야외 테니스 할때 선크림 덧바르기하다보면 피부 뒤집어지고 그래서 고민이였는데
이건 가지고 다니면서 덧바르기 정말 좋을 것 같아요 수분감 넘친다니 너무 좋아요
성분까지 너무 맘에 들어요
택배 기다릴께요 ~"
@kimminson315,"델피어 아쿠아 테카 카밍 선세럼 기대되네요 
  선세럼인데 캡술이 들어가 있어서 신기하네요! 발림성도 좋고 선크림 기능성 완벽해서 좋을것같아요"
@user-yj6pu1lj6g,"꺄ㅏㅏ 런칭축하드려요!!!!!
믿고 보는 심톨님이 준비하신 선제품이라뇨...🥹
게다가 선세럼이라서 너무너무 기대돼요!!!!선크림 바르면 뭔가 항상 무거운 느낌...?이 너무 싫었어요! 특히 화장할 때 더 바르기 싫더라구요ㅠㅠㅠ 수분크림같은 선크림이라 해서 써봐도 그 특유의 선크림 느낌은 어쩔 수 없었는데 심톨님이 그런 점을 딱 캐치해서 만들어주신 제품인 것 같아요!ㅎㅎㅎ얼굴에 답답함이 싫어서 평소에 파운데이션도 아주아주 얇게 바르는 사람으로서 선크림의 무거운 느낌때문에 자꾸 패스하게 되더라구요...근데 투명한 선 세럼이라니 너무 좋아요...🫧
이제 가볍게 선제품 바르기 가능!!!!
🩵저도 선크림 이제 꾸준히 바르고 다니는 사람이 되어 보고싶네요.."
@rose7753,"통장이 텅장이라 구매는 못하지만.. 써보고 싶슴돵
 선크림은 많이 봤어도 선세럼 제형은 거의 없는 것 같아 기대돼요..!"
@eunbinia,펌핑형에 독특한 제형 썬블록이라니 신기한네요. 손에 묻는게 싫어서 스틱형만 사용하는데도 써보고 싶은 제품이네요~
@user-tc6ue9yh2s,"헐..우와..투명한 썬크림이라니 당장 써보고싶어요..!!!
여름되면서 썬크림 꼼꼼하게 바르려고 노력하는데 솔직히 2~3시간마다 덧발라줘야 자외선 차단 효과있다고하는데 기존 썬크림들은 한번 바르고나면 다시 덧바르기싫어서 안발랐는데 이 선세럼은 촉촉해보여서 덧바르기도 좋을것같아요
그리고 제형이 얼굴뿐만 아니라 목에도 바르기 좋은 제형같아서 너무 기대되는 제품인듯 ,,"
@yehyunjung3636,안 그래도 선크림 뭐 살지 고민하고있었는데 언니가 만든 선세럼이라니! 이건 꼭 사야겠다 ㅠㅠ
@user-ci9no5ve4d,"심톨 언니 첫 런칭 축하해요
 언니 믿고 바로 질렀어요 ㅎㅎ"
@user-hj7kl1dx8d,"우와!! 언니가 만든 선 세럼이라니...
그냥 만들었다고 해도 기대 폭발이였는데!
처음보는 제형에 색상이라 당장 주문 먼저 하고 왔어요! 인스타 스토리로도 간간히 봤었는데 드디어! 축하드려요!
선크림쓰면 항상 얼굴 번들번들하고 갑갑한 느낌있어서 잘안쓰거나 써도 조금 바르고 시간 지나면 완전 번들번들하고 또! 화장도 떠서 얼룩덜룩 보기싫은 수부지 피부인데 완전 너무 기대중입니다.
제가 일단 써보고~ 민감피부 남편이랑 저희 엄마아빠께도 선물 하구요
 좋으면 회사랑 친구들한테도 쫙! 소문내볼게요"
@user-lu3so7dc2b,"저도 코덕인데 이런제형은 처음ㅠㅠ 심톨님은 뷰티유튜버만 하기엔 아깝죠 브랜드 제대로 내주십쇼쇼 심쿵이들이 다 살게요
언니 너무 진지한데 이런분위기 또 너무 이쁘고 고급스럽고ㅠㅠㅠ 최고다 심톨"
@user-fe4xx7gm9c,"너무 찾던 제형의 선케어 제품이예요ㅎㅎ 4개 구매완료
 언능 왔으면 좋겠어요."
@kaheekku,"안그래도 선크림 똑 떨어졌는데 흑흑
일에 지쳐서 그냥 올영에서 파는 선크림 사용했는데, 투명 선크림.. 신기해용!!! 사용해보고 싶습니당"
@user-qu7wj7dm1v,"선크림 꼭 발라야 하는 거 누구보다 잘 알지만 저야말로 너무 귀찮고 답답하고 바르면 세안도 더 꼼꼼히 해야 해서 선크림 거의 포기하고 다녔는데ㅠ
심톨님이 만드신 세럼 제형 너무 신기하고 기대되고 너무 써 보고 싶어요!!
그리고 썬 세럼 제품이면 세안도 다른 제품보다 당연히 더 잘 되겠죺?!!
일단 저도 심톨님 처럼 열 개 쟁이러 갑니다!!🩵🩵🩵"
@user-zx3lr1vu4y,"심톨언니 믿고 바아로 4통 주문갈겼습니당
 세럼형태라니..! 백탁없다니..!!! 화장안밀린다니!!!! 주문안하는법 알려주실분..
 가볍고촉촉하게 바를수있는 선세럼 너무기대가됩니다>< 빨리배송왔음 좋겠어요"
@user-qv7ss8fu7d,요즘 선크림때문에 고민많았는데 이렇게 타이밍 좋게 영상보고 이건 살수밖에 없는 선크림이잖아여
@multi_jian,"3개 구매 완료했어요
선크림 바르고 시간이 지나면 건조하고, 눈이 예민해서 눈시림 때문에 유기자차는 손도 못 대고 있었는데
델피어 선세럼 기대됩니다용"
@H.JPark..,"믿고쓰는 심톨템!! 축하드립니다
일단 결제하고 영상이랑 더보기 보다가 신규회원쿠폰보고 다시가서 결제했어요 (이런거까지 챙겨주는 센스
)
유분 장난아닌 지성이라 유기자차 안쓰는 사람이지만...  투명하고 세럼같아서 한번 써보겠습니다. 부디 유분광에게도 잘 맞는 템이길"
@rum-nq8ch,선크림이 궁금했던적이 한번도 없었는데 이 선제품은 너무 궁금하네요..좋은 성분들로 가득찬 선제품이라니..!민감성이라 선크림만 쓰면 따가웠는데! 따갑지도 않을 것 같아요! 순하다니 기대가 팡팡 되네요. 믿고 쓸 선제품 만드시느라 고생 많으셨어요~~
@bin0607,"제형이 진짜..특이하네요?? 투명한게 너무신기해요!!! 제가알고잇던 선크림 개념을 깨준느낌이에요!! 꼭 써보고싶어요
 바르고나서 흡수,끈적임,잔여감 도 궁금하고  세안시 이지워시돼는지도 궁금하네요 "
@h.iroong,"심톨언니가 이정도로 진심이라면 그냥 지나칠 수가 없는 선세럼... 광고도 아니고 언니가 처음부터 직접 제작 참여하신 선크림이라 높은 금액에도 불구하고 더욱 더 탐이 나요!! 
저는 평소 여드름 피부는 아닌데 선크림 잘못 바르면 여드름이 잘 나서  정말 힘들거든요... 근데 해외에서 공수해오신 성분으로 만들어진 여드름 안나는 선크림이라니!!!! 
너무너무 고생 많으셨을 것 같아용ㅜ.ㅜ  좋은 제품 제작해주셔서 감사해용"
@qoxopqoxop,선크림 유목민인데 믿고 구매해봅니다. 제발 잘 맞았으면 좋겠어요!
@imyeongji,"선세럼 넘 좋으세요..ㅠㅠ전 디렉터파이님 제작한 순딩한 수분선크림정도밖에 못쓰는 민감 복합성인데 기대됩니다!
제가 쓰는 제품은 에뛰드 순정 디렉터 수분 선크림인데 아무리 두들기구 흡수시켜도 속건조는 못잡더라구요! 근데 이제품은 세럼이라 기대기대!!!"
@user-xs7rm4ye3c,"민감성피부에 눈시림 느끼는 1인이라 완전 반가운 선크림제품이에요
 진정에 진심인 저에게 혹하는 제품이네요 기대됩니당~"
@everyeah,"어머어머 지금 딱 필요한 선크림이잖아요
안그래도 피부가 너무 예민하구 백탁있는건 안좋아하는 편이라 뭘 사야할지 고민이 되도라구요!! 
제가 지금까지 산 선크림 중에 한번만 쓰고 안쓰는 제품이 있어서 더욱 고민하구 사는 편이에요!!!
언니가 만든 선크림이라 일단 믿고 보는거죠!! 게다가 메이크업도 착붙 딱풀이면서 광이 미쳤당!!! 아니 진짜 요물 아이템을 만들어버렸네요
당장 쟁이러 달려갑니당!!"
@user-cu3iq6wn3k,"아쿠아 테카 선세럼은 세럼 제형이라서 발림성도 좋고 완전 촉촉해 보여서
기대되요!! 바르기도 편하고 가벼워서 너무 좋을 것 같아여"
@hanulfilm,"기초 스킨케어 정말 중요하게 생각해서 세럼&썬세럼 꼭 쓰는데, 가볍고 산뜻하게 발릴 것 같아서 너무나 기대된당
 곧 여름이라, 계절에 맞게 지금 쓰기 딱 좋을 것 같아서, 얼른 받구 시포용 🫧"
@0.24cm9,믿고 구매하는 심톨님인데 선크림이라닛 ㅎㅎㅎ 바로 구매갑니당
@ssun2g,지인 찬스로 미리 사용했는데 너무 좋아서 4개 구매 완료! 진짜 이런 썬크림 처음 봄! 촉촉한데 썬크림 기능까지 미쳤어요~  이렇게 좋은건 많은 사람들이 쓰면 좋겠어요
@wonnni17,저 진짜 피부 민감해서 선크림 바르면 잘 뒤집어져서 양산 필수로 들고 다니는데 너무 기대되요!! 선세럼 만드실때부터 너무 기대됐었는데 드디어 나오다니ㅠㅠ
@alalahfqk,"화장을 시작한지 1n년째…. 선크림 필요성 너무나 잘 알지만 어떤 제품을 써도 번들거리고 답답했기 때문에 햇빛이 강하게 내리쬐는 날에도 무방비로 나가곤 했습니다
선세럼 정말 획기적인 제품이고 드디어 평생 정착할 수 있는 선크림을 만난 것 같은 강한 직감이 듭니다!
️
심톨언니가 자신 있게 말씀하셔서 더욱 더 믿음이 가고 너무나 기대가 돼서 꼭 사용해보고 싶습니다
️
좋은 제품 개발하신다고 고생하셨고 런칭 진심으로 축하드립니다"
@hee0222,"내가 만들어서 내가 쓸려고 했다는 언니 말이 너무 믿음직스럽네요~ 선크림 출시 축하드려요! 진짜 제품 하나 만들려고 연구소도 가시구, 어머니한테 테스트 하신게 너무 대단해요
소비자로서 믿고 써도 되겠다는 생각이 드네요~
정말이지..기회되면 선크림 꼭 한번 써보고 싶어요
요즘 선크림 많이 바르는데
 찝찝하고 답답해요ㅜ 근데 델피어는 세럼 성분이여서 바르면 엄청 촉촉해지는거 너무 좋을것 같아요! 이벤트 폼 작성했는데, 이번에 당첨돼서 선크림 한번 쓸 수 있기를 바라 봅니당 암튼 영상 잘 보고 가구요 다음 영상도 기대할게요~"
@hyejikang5847,아 저도 수부지에 예민한 피부인데 항상 언니가 추천해주는 화장품 대만족폭발이라 지금 쟁이러 갑니다!
@chaemblee,선세럼구입완료!!!! 엉니 잔디세럼 계획없으싱가여??????? 사고싶은데 넘사
@user-jx1iv7qh3k,평소에 보던 유튜버가 아니라 처음보는 분인데 갑자기 알고리즘에 떠서 이끌리듯 들어와버려서 동영상 끝까지 다 봐버렸네요 선크림 중요한건 알고있지만 항상 너무 답답하고 또 수부여서 기름이올라오면 트러블도 나고 또 지우개처럼 매번 가루가 나오고 스트레스가 이만저만이 아니었는데 정말 저런 니즈들을 해소할수 있는 인생선크림을 만날수 있을까해서 신청합니다
@meonjiu,건성이라 수분가득한 선크림만 찾는 선크림 유목민인데 ㅠㅠ 광명 찾을수 있겠됴?! 당장 구매각 !!! 아침 스킨케어 단계 줄일 수 있을것 같아서 기대되네용 
@Doremifasoll,"썬 세럼이라니 ㄴㅇㄱ 
수부지에 초초초민감성이라 썬크림 유목민인데.. 
 영상보고 당장 구매 갈기고 왔어요 "
@user-qo3fh5se1s,심톨님이 내서 믿고 바로 최다 구성으로 구매했어요 평소에 선크림 유목민이였는데 기대됩니당!! 톤업이런거 필요 없구 딱 이렇게 기초제품같이 가벼운 제형 원했는데 원하던 제품이예요!! 그리고 용량이 작아서 더 좋아요 위생적으로 딱 한달정도 쓸수 있어서요 날이 더워지는 시기에는 화장품 위생도 신경쓰이더라고용 ㅠ !!
@qwang2046,"심톨님 만든 선크림 믿고 바로 4개 구매합니당!!
받아서 써보고 잘 맞으면 이벤트 기간 내에 더 쟁이려고 준비 중이에요!!ㅎㅎ"
